time,temperature,humidity,vibration,spoilage,remaining_hours
356,6.39,67.82,1.42,0,7.2
357,5.89,67.28,1.43,0,7.2
358,5.67,67.54,1.49,0,7.2
359,5.43,67.94,1.37,0,12.0
360,5.41,68.04,1.39,0,12.0
361,5.46,67.84,1.41,0,12.0
362,5.65,67.91,1.46,0,7.2
363,5.94,67.41,1.42,0,7.2
364,6.19,67.21,1.39,0,7.2
365,6.03,67.83,1.46,1,7.2
366,6.3,67.76,1.43,1,7.2
367,6.53,67.02,1.34,0,7.2
368,6.86,66.29,1.45,0,7.2
369,7.47,67.4,1.57,0,7.2
370,7.38,67.38,1.45,0,7.2
371,7.47,67.38,1.61,0,7.2
372,6.98,67.47,1.37,0,7.2
373,6.82,67.89,1.46,0,7.2
374,6.74,68.52,1.48,0,7.2
375,6.86,68.48,1.34,0,7.2
376,6.97,67.92,1.54,1,7.2
377,7.06,69.15,1.64,0,7.2
378,6.84,69.93,1.53,1,7.2
379,6.86,69.66,1.58,0,7.2
380,6.69,69.92,1.57,0,7.2
381,6.93,69.69,1.69,0,7.2
382,7.0,70.82,1.82,0,7.2
383,7.13,70.58,1.71,1,7.2
384,7.23,71.34,1.62,1,7.2
385,6.91,71.56,1.71,1,7.2
386,6.74,71.77,1.6,0,7.2
387,6.66,71.73,1.71,0,7.2
388,6.5,71.26,1.64,0,7.2
389,6.31,71.63,1.5,0,7.2
390,6.18,71.29,1.67,0,7.2
391,6.45,72.14,1.63,0,7.2
392,6.77,71.88,1.46,1,7.2
393,7.08,71.51,1.55,0,7.2
394,6.59,72.3,1.41,0,7.2
395,6.22,72.92,1.39,0,7.2
396,6.28,72.61,1.45,0,7.2
397,5.81,72.49,1.3,0,7.2
398,5.77,72.23,1.1,0,7.2
399,5.58,72.88,1.17,0,7.2
400,6.14,75.74,1.62,0,7.2
401,5.71,76.34,1.64,0,7.2
402,5.49,76.45,1.58,0,12.0
403,5.6,76.71,1.64,1,7.2
404,5.36,76.04,1.46,0,12.0
405,5.51,75.49,1.24,0,7.2
406,5.76,75.5,1.27,1,7.2
407,5.76,75.55,1.26,0,7.2
408,5.94,75.85,1.21,0,7.2
409,5.86,76.11,1.12,0,7.2
410,5.88,76.2,1.1,1,7.2
411,5.94,76.19,1.18,0,7.2
412,5.74,76.45,0.92,0,7.2
413,5.76,76.15,0.91,0,7.2
414,5.91,76.17,0.73,0,7.2
415,5.72,75.7,0.71,0,7.2
416,5.88,75.06,0.61,0,7.2
417,6.01,74.96,0.76,0,7.2
418,5.84,74.75,0.73,0,7.2
419,5.63,74.56,0.74,0,7.2
420,5.17,75.01,0.79,0,12.0
421,5.85,74.49,0.77,1,7.2
422,5.44,74.38,0.66,0,12.0
423,4.9,74.65,0.73,0,12.0
424,4.73,73.35,0.68,0,12.0
425,4.85,72.61,0.7,0,12.0
426,4.84,72.9,0.71,0,12.0
427,4.55,73.5,0.69,0,12.0
428,4.54,73.04,0.65,0,12.0
429,4.28,72.95,0.82,0,12.0
430,3.87,72.14,0.97,0,12.0
431,3.8,71.81,1.07,0,12.0
432,3.62,72.72,1.14,0,12.0
433,3.47,73.8,1.08,0,12.0
434,3.7,73.95,1.21,0,12.0
435,4.17,73.96,1.13,0,12.0
436,4.3,73.63,1.33,0,12.0
437,4.34,73.44,1.35,0,12.0
438,3.94,72.96,1.47,0,12.0
439,3.74,72.43,1.52,0,12.0
440,4.1,72.79,1.62,0,12.0
441,3.87,72.08,1.77,0,12.0
442,3.78,71.96,1.91,0,12.0
443,3.94,72.18,2.12,0,12.0
444,3.75,72.65,2.13,0,12.0
445,3.83,73.41,2.18,0,12.0
446,3.99,73.95,2.14,0,12.0
447,3.74,73.43,1.95,0,12.0
448,4.36,72.88,1.93,0,12.0
449,4.27,73.03,2.01,0,12.0
450,12.28,77.36,2.67,1,2.4
451,12.47,76.71,2.69,1,2.4
452,12.42,76.53,2.61,1,2.4
453,12.69,77.4,2.64,1,2.4
454,12.79,77.05,2.52,1,2.4
455,12.78,76.57,2.34,1,2.4
456,13.02,76.99,2.26,1,2.4
457,13.09,77.49,2.28,1,2.4
458,12.74,77.38,2.41,1,2.4
459,12.81,77.65,2.44,1,2.4
460,12.55,77.34,2.48,1,2.4
461,12.8,77.89,2.39,1,2.4
462,12.93,78.48,2.29,1,2.4
463,13.37,79.3,2.56,1,2.4
464,13.44,79.42,2.64,1,2.4
465,13.68,79.98,2.72,1,2.4
466,13.65,80.59,2.61,1,2.4
467,13.65,81.37,2.48,1,2.4
468,13.45,81.71,2.52,1,2.4
469,13.19,81.5,2.41,1,2.4
470,13.48,81.37,2.58,1,2.4
471,13.5,81.26,2.55,1,2.4
472,13.43,81.32,2.8,1,2.4
473,13.33,81.17,2.81,1,2.4
474,13.66,80.46,2.86,1,2.4
475,13.41,80.73,2.81,1,2.4
476,12.72,80.92,2.84,1,2.4
477,12.55,80.6,2.71,1,2.4
478,12.78,81.04,2.62,1,2.4
479,12.62,81.01,2.85,1,2.4
480,12.78,80.54,2.88,1,2.4
481,12.37,80.89,3.05,1,2.4
482,12.87,81.26,2.99,1,2.4
483,12.48,80.56,2.71,1,2.4
484,12.69,80.51,2.8,1,2.4
485,13.12,80.56,2.82,1,2.4
486,12.98,80.39,2.89,1,2.4
487,12.93,80.23,2.89,1,2.4
488,13.19,79.88,2.88,1,2.4
489,13.27,80.46,2.86,1,2.4
490,13.05,80.22,2.96,1,2.4
491,13.66,79.56,2.85,1,2.4
492,13.61,79.62,2.93,1,2.4
493,13.34,79.09,2.94,1,2.4
494,13.26,79.55,2.99,1,2.4
495,13.43,79.5,3.23,1,2.4
496,13.18,79.8,3.1,1,2.4
497,12.86,79.5,3.26,1,2.4
498,12.94,79.2,3.3,1,2.4
499,12.95,78.96,3.16,1,2.4
500,8.85,72.74,3.64,1,2.4
501,8.83,72.51,3.84,1,2.4
502,9.36,72.0,3.77,1,2.4
503,9.38,72.7,3.78,1,2.4
504,9.19,72.67,3.72,1,2.4
505,9.37,72.31,3.66,1,2.4
506,9.72,71.93,3.52,1,2.4
507,9.75,71.75,3.57,1,2.4
508,9.84,71.73,3.57,1,2.4
509,9.62,71.77,3.65,1,2.4
510,9.33,71.77,3.76,1,2.4
511,9.48,72.43,3.7,1,2.4
512,8.93,72.53,3.74,1,2.4
513,9.34,73.12,3.79,1,2.4
514,9.57,73.02,3.67,1,2.4
515,9.61,73.51,3.73,1,2.4
516,9.86,73.3,3.71,1,2.4
517,10.0,73.03,3.66,1,2.4
518,10.09,73.41,3.64,1,2.4
519,9.74,73.04,3.66,1,2.4
520,9.8,73.16,3.71,1,2.4
521,9.8,73.29,3.7,1,2.4
522,10.15,74.01,3.58,1,2.4
523,10.07,74.03,3.56,1,2.4
524,10.61,74.14,3.48,1,2.4
525,10.79,74.27,3.51,1,2.4
526,11.33,74.45,3.48,1,2.4
527,10.74,74.37,3.61,1,2.4
528,10.72,73.25,3.56,1,2.4
529,11.01,73.52,3.47,1,2.4
530,10.84,73.31,3.41,1,2.4
531,10.23,73.7,3.53,1,2.4
532,9.78,74.32,3.52,1,2.4
533,10.15,74.34,3.54,1,2.4
534,10.26,73.94,3.66,1,2.4
535,9.92,73.74,3.71,1,2.4
536,9.77,74.13,3.85,1,2.4
537,10.07,73.16,3.86,1,2.4
538,10.38,72.5,3.93,1,2.4
539,10.58,71.9,4.02,1,2.4
540,10.66,72.22,3.92,1,2.4
541,10.71,71.37,3.69,1,2.4
542,10.75,71.92,3.72,1,2.4
543,10.73,71.83,3.62,1,2.4
544,10.67,72.04,3.58,1,2.4
545,10.89,72.13,3.61,1,2.4
546,11.16,71.87,3.68,1,2.4
547,11.04,72.04,3.61,1,2.4
548,10.77,72.09,3.42,1,2.4
549,10.68,71.28,3.5,1,2.4
550,12.16,65.33,3.62,1,2.4
551,12.19,65.05,3.45,1,2.4
552,12.45,64.71,3.64,1,2.4
553,12.7,64.31,3.57,1,2.4
554,13.22,64.26,3.51,1,2.4
555,13.23,64.0,3.54,1,2.4
556,13.21,64.44,3.5,1,2.4
557,12.94,64.27,3.46,1,2.4
558,12.92,64.58,3.52,1,2.4
559,13.28,64.18,3.56,1,2.4
560,13.5,63.84,3.54,1,2.4
561,12.97,64.3,3.52,1,2.4
562,13.21,64.4,3.5,1,2.4
563,12.74,63.69,3.24,1,2.4
564,12.57,64.83,3.11,1,2.4
565,11.78,65.31,3.35,1,2.4
566,11.87,65.46,3.32,1,2.4
567,11.33,64.73,3.29,1,2.4
568,11.18,64.67,3.37,1,2.4
569,11.0,65.1,3.31,1,2.4
570,11.31,65.14,3.27,1,2.4
571,11.33,64.99,3.28,1,2.4
572,11.56,64.95,3.24,1,2.4
573,11.22,65.24,3.28,1,2.4
574,10.87,65.66,3.16,1,2.4
575,11.18,66.0,3.2,1,2.4
576,11.07,66.29,3.31,1,2.4
577,11.24,65.95,3.33,1,2.4
578,11.58,67.05,3.31,1,2.4
579,11.84,67.62,3.23,1,2.4
580,12.37,67.09,3.31,1,2.4
581,12.47,67.12,3.57,1,2.4
582,12.38,66.96,3.7,1,2.4
583,12.6,67.6,3.71,1,2.4
584,12.7,68.55,3.63,1,2.4
585,12.67,68.95,3.61,1,2.4
586,12.5,69.26,3.74,1,2.4
587,12.45,69.17,3.68,1,2.4
588,12.37,69.72,3.69,1,2.4
589,12.12,69.85,3.79,1,2.4
590,11.96,69.18,4.01,1,2.4
591,11.54,69.0,4.03,1,2.4
592,11.46,68.97,4.09,1,2.4
593,10.74,68.33,4.1,1,2.4
594,10.62,68.4,4.12,1,2.4
595,9.99,69.03,4.07,1,2.4
596,9.73,69.14,4.08,1,2.4
597,10.09,69.27,4.2,1,2.4
598,9.81,69.34,4.08,1,2.4
599,9.83,69.29,4.07,1,2.4
600,10.56,66.15,2.46,1,2.4
601,10.47,66.5,2.42,1,2.4
602,10.82,66.68,2.41,1,2.4
603,10.95,65.9,2.3,1,2.4
604,10.6,65.97,2.47,1,2.4
605,11.27,66.29,2.52,1,2.4
606,10.72,66.02,2.44,1,2.4
607,10.54,65.93,2.4,1,2.4
608,9.94,66.31,2.29,1,2.4
609,10.02,67.34,2.2,1,2.4
610,9.26,67.2,2.31,1,2.4
611,9.84,66.59,2.36,1,2.4
612,9.71,66.53,2.62,1,2.4
613,9.25,66.66,2.67,1,2.4
614,9.58,66.71,2.7,1,2.4
615,9.46,66.84,2.66,1,2.4
616,9.65,66.66,2.7,1,2.4
617,9.64,67.22,2.7,1,2.4
618,9.11,67.85,2.61,1,2.4
619,8.91,67.55,2.74,1,2.4
620,8.27,69.12,2.85,1,7.2
621,8.34,69.72,2.82,1,7.2
622,8.51,69.77,2.8,1,2.4
623,8.46,69.67,2.91,1,7.2
624,8.42,70.17,3.14,1,7.2
625,8.48,70.16,3.1,0,7.2
626,8.76,70.71,3.06,1,2.4
627,8.54,71.28,3.01,1,2.4
628,8.27,70.94,2.96,0,7.2
629,8.53,71.3,3.01,1,2.4
630,8.33,71.52,3.09,0,7.2
631,8.56,71.81,3.13,1,2.4
632,8.33,71.92,3.05,0,7.2
633,8.32,71.58,3.04,0,7.2
634,8.36,71.51,3.04,0,7.2
635,8.54,71.51,2.96,1,2.4
636,8.74,71.98,2.8,1,2.4
637,8.51,71.6,2.7,1,2.4
638,8.76,71.5,2.68,1,2.4
639,8.15,71.82,2.55,1,7.2
640,7.66,72.42,2.47,1,7.2
641,7.76,70.91,2.49,0,7.2
642,7.56,71.01,2.38,1,7.2
643,7.8,71.24,2.43,0,7.2
644,7.45,71.28,2.35,0,7.2
645,7.72,70.93,2.31,0,7.2
646,7.53,70.94,2.41,0,7.2
647,7.22,71.35,2.32,0,7.2
648,7.14,70.96,2.39,0,7.2
649,6.99,71.09,2.41,0,7.2
650,3.35,75.18,1.2,0,12.0
651,3.62,74.98,1.14,0,12.0
652,3.57,75.08,1.07,0,12.0
653,3.46,75.27,1.09,0,12.0
654,3.4,74.4,1.09,0,12.0
655,3.11,74.89,1.06,0,12.0
656,2.81,74.86,1.19,0,12.0
657,3.0,74.97,1.05,0,12.0
658,3.49,74.66,1.15,0,12.0
659,3.39,75.08,1.28,0,12.0
660,3.58,75.46,1.27,0,12.0
661,3.45,75.53,1.23,0,12.0
662,4.19,75.03,1.33,0,12.0
663,4.35,75.15,1.48,0,12.0
664,4.44,74.83,1.51,0,12.0
665,4.38,75.08,1.59,0,12.0
666,4.12,75.68,1.57,0,12.0
667,4.26,75.99,1.6,0,12.0
668,4.23,75.74,1.58,0,12.0
669,4.69,75.31,1.51,0,12.0
670,4.47,75.38,1.35,0,12.0
671,4.06,75.25,1.22,0,12.0
672,3.7,74.61,1.14,0,12.0
673,3.92,75.09,1.33,0,12.0
674,4.48,75.48,1.43,0,12.0
675,4.52,75.74,1.63,0,12.0
676,4.63,76.32,1.53,0,12.0
677,4.43,76.47,1.55,0,12.0
678,4.25,77.68,1.57,0,12.0
679,4.11,77.75,1.57,0,12.0
680,4.17,76.95,1.7,0,12.0
681,4.57,77.69,1.73,0,12.0
682,4.77,77.26,1.81,0,12.0
683,4.85,77.03,1.9,0,12.0
684,5.12,77.06,1.95,0,12.0
685,4.81,77.68,1.86,0,12.0
686,4.6,77.71,1.97,0,12.0
687,4.93,77.71,2.04,0,12.0
688,4.43,77.35,1.97,0,12.0
689,4.8,77.67,1.99,0,12.0
690,4.89,78.46,1.98,0,12.0
691,4.49,79.0,1.99,0,12.0
692,4.78,78.98,1.91,0,12.0
693,4.9,78.99,1.93,0,12.0
694,5.38,78.44,1.96,0,12.0
695,5.14,77.14,1.95,0,12.0
696,5.15,77.45,1.93,0,12.0
